Company Name,Full Description,Description,Founder Name,Founded In,Location,Category,No. of Employees,Company Website,Company Type,Technologies,Business Functions,Business Model,IndiaAI URL
ThatNeedle,ThatNeedle provides AI based site search technology.,ThatNeedle provides AI based site search technology. | Technologies: ThatNeedle is an AI-based site search technology that uses natural language processing to do a semantic search and makes language understanding better. The Natural Language Processing framework is capable of identifying hierarchy & relationships in natural language text or natural language queries. | Type: AI/ML company,,2013,"Chandigarh, India",,0,https://thatneedle.com,AI/ML,ThatNeedle is an AI-based site search technology that uses natural language processing to do a semantic search and makes language understanding better. The Natural Language Processing framework is capable of identifying hierarchy & relationships in natural language text or natural language queries.,,,https://indiaai.gov.in/startup/thatneedle
AutomataPi,"AutomataPi provides enterprise solutions and consultancy in the field of business data intelligence, process...","AutomataPi provides enterprise solutions and consultancy in the field of business data intelligence, process... | Technologies: and Services | Type: Other company",Principal Architect,2017,"Maharashtra, India",,0,https://A.io,Other,and Services,,,https://indiaai.gov.in/startup/automatapi
Santulan Technologies,Santulan Technologies is an AI technology that develops sentiment analysis models using NLP tools.,Santulan Technologies is an AI technology that develops sentiment analysis models using NLP tools. | Technologies: and Services | Type: AI/ML company,Mahesh is,2016,,,0,https://ST.ai,AI/ML,and Services,,,https://indiaai.gov.in/startup/santulan-technologies
Kooki,,Technologies: Kooki develops IoT devices using AI technology which for used in automotive and consumer electronics sector. It integrates speech recognition and NLP in regional Indian languages. Kooki sells smart devices through their website and also as a retrofitted product with companies in the ecosystem. The company’s products are designed in-house where it controls the whole process of design to prototype to production. | Type: IoT company,Shashank Revankar is the,2013,"Karnataka, India",,0,https://kooki.ai,IoT,Kooki develops IoT devices using AI technology which for used in automotive and consumer electronics sector. It integrates speech recognition and NLP in regional Indian languages. Kooki sells smart devices through their website and also as a retrofitted product with companies in the ecosystem. The company’s products are designed in-house where it controls the whole process of design to prototype to production.,,,https://indiaai.gov.in/startup/kooki
ChironX,,"ChironX is a  company founded in 2010, based in Haryana, India",,2010,"Haryana, India",,20,https://C.ai,Other,,,,https://indiaai.gov.in/startup/chironx
Almug Technologies,Almug provides structured/unstructured data management solutions using AI that helps companies to monetize their data.,Almug provides structured/unstructured data management solutions using AI that helps companies to monetize their data. | Type: Technology company,,2015,"Karnantaka, India",,11,https://almug.ai/,Technology,,,,https://indiaai.gov.in/startup/almug-technologies
Engazify,Engazify is an AI-powered bot that enables companies to measure employee performance data and facilitates real-time...,Engazify is an AI-powered bot that enables companies to measure employee performance data and facilitates real-time... | Technologies: and Services | Type: Other company,,2015,"Maharashtra, India",,0,https://E.ai,Other,and Services,,,https://indiaai.gov.in/startup/engazify
Skill Alpha,Skills Alpha offers an AI-enabled skill learning platform that offers personalized learning experience to the employees...,Skills Alpha offers an AI-enabled skill learning platform that offers personalized learning experience to the employees... | Type: SaaS company,,2016,"Maharashtra, India",,0,https://SA.ai,SaaS,,,,https://indiaai.gov.in/startup/skill-alpha
Fastnext,Fastnext is a data-driven recruitment platform.,Fastnext is a data-driven recruitment platform | Technologies: and Services | Type: SaaS company,Fastnext has,2016,"Karnataka, India",,8,https://fastnext.com,SaaS,and Services,,,https://indiaai.gov.in/startup/fastnext
Machinup,Machinup provides an AI-based predictive maintenance solution for industrial applications.,Machinup provides an AI-based predictive maintenance solution for industrial applications. | Type: Other company,Chinmaya Behera,2017,"Karnataka, India",,5,https://M.ai,Other,,,,https://indiaai.gov.in/startup/machinup
Dave AI,,"Dave AI is a  company founded in 2016, based in Karnataka, India",,2016,"Karnataka, India",,10,https://daveai.com,Other,,,,https://indiaai.gov.in/startup/dave-ai
Mate Labs,"Mate Labs created a Machine Learning platform - Mate Verse, to automate the process of building and training ML models","Mate Labs created a Machine Learning platform - Mate Verse, to automate the process of building and training ML models | Technologies: Mate Labs created a Machine Learning platform - Mateverse, to automate the process of building and training ML models. Mateverse can also be used by non-technology users to build and train ML models without writing code while saving a considerable amount of time. Mateverse can be used both beginners and evolved users. It is appropriate for data analysts and scientists who spend several weeks on re-processing data.. Its capabilities include: | Type: SaaS company",View Rahul Vishwakarma,2016,"Karnataka, India",,0,https://matelabs.ai,SaaS,"Mate Labs created a Machine Learning platform - Mateverse, to automate the process of building and training ML models. Mateverse can also be used by non-technology users to build and train ML models without writing code while saving a considerable amount of time. Mateverse can be used both beginners and evolved users. It is appropriate for data analysts and scientists who spend several weeks on re-processing data.. Its capabilities include:",,,https://indiaai.gov.in/startup/mate-labs
Autochat.io,,"Autochat.io is a  company founded in 2017, based in Telengana, India",,2017,"Telengana, India",,0,https://A.io,Other,,,,https://indiaai.gov.in/startup/autochat-io
i3 Systems India,i3Systems is an AI-powered insure-tech platform that builds automation products for the health and life insurance...,i3Systems is an AI-powered insure-tech platform that builds automation products for the health and life insurance... | Type: Fintech company,,,"Maharashtra, India",,0,https://iSI.com,Fintech,,,,https://indiaai.gov.in/startup/i3-systems-india
Brainpan Innovations,"Brainpan Innovations provides solutions for Electronic Health Records, Hospital Information System, Pharmacoviligance,...","Brainpan Innovations provides solutions for Electronic Health Records, Hospital Information System, Pharmacoviligance,... | Type: Healthcare company",,2015,"Uttar Pradesh, India",,0,https://BI.com,Healthcare,,,,https://indiaai.gov.in/startup/brainpan-innovations
Kreato CRM,Kreato CRM is an AI-powered CRM platform for sales,Kreato CRM is an AI-powered CRM platform for sales | Type: SaaS company,,2015,"Tamil Nadu, India",,0,https://kreatocrm.com,SaaS,,,,https://indiaai.gov.in/startup/kreato-crm
Edge Networks,EdGE Networks provides an AI and analytics-powered engine whose solutions aid and enhances HR functions in companies...,EdGE Networks provides an AI and analytics-powered engine whose solutions aid and enhances HR functions in companies... | Technologies: Online Recruitment | Type: HR Tech company,,,"Karnataka, India",,0,https://EN.ai,HR Tech,Online Recruitment,,,https://indiaai.gov.in/startup/edge-networks
CreditVidya,,"CreditVidya is a  company founded in 2013, based in Telengana, India",,2013,"Telengana, India",,85,https://creditvidya.com,Other,,,,https://indiaai.gov.in/startup/creditvidya
KAIINOS Geospatial Technologies Pvt. Ltd,,Type: Technology company,,2016,"Telangana, India",,8,https://KGTPL.in,Technology,,,,https://indiaai.gov.in/startup/kaiinos-geospatial-technologies-pvt-ltd
